JOGO,RESULTADO,CORINTHIANS,GOL COR,GOL VIS,VISITANTE,DIA,CAMPEONATO,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,R1,R2,R3,R4,R5,R6-A,R7-A,R8-A,R9-A,R10-A,R11-A,R12-A
1,D,CORINTHIANS,0,1,FIGUEIRENSE,18/05/2014,BRASILEIRO,Cássio,Fagner,Gil,Cleber,Fábio Santos,Ralf,Guilherme dos Santos,Renato Augusto,Jadson,Luciano,Guerrero,Romarinho,Danilo,Paulo Victor,,,,,,,,,
2,E,CORINTHIANS,1,1,BOTAFOGO,01/06/2014,BRASILEIRO,Walter,Fagner,Gil,Cleber,Fábio Santos,Ralf,Petros,Bruno Henrique,Jadson,Romarinho,Guerrero,Luciano,Renato Augusto,Zé Paulo,,,,,,,,,
3,V,CORINTHIANS,2,1,INTERNACIONAL,17/07/2014,BRASILEIRO,Cássio,Fagner,Gil,Cleber,Fábio Santos,Ralf,Elias,Petros,Jadson,Luciano,Guerrero,Romarinho,Bruno Henrique,Romero,,,,,,,,,
4,V,CORINTHIANS,3,0,BAHIA,23/07/2014,COPA DO BRASIL,Cássio,Fagner,Gil,Cleber,Fábio Santos,Ralf,Elias,Petros,Jadson,Romero,Guerrero,Romarinho,Renato Augusto,Luciano,,,,,,,,,
5,V,CORINTHIANS,2,0,PALMEIRAS,27/07/2014,BRASILEIRO,Cássio,Fagner,Gil,Cleber,Fábio Santos,Ralf,Elias,Renato Augusto,Petros,Romero,Guerrero,Romarinho,Danilo,Luciano,,,,,,,,,
6,E,CORINTHIANS,1,1,BAHIA,16/08/2014,BRASILEIRO,Cássio,Fagner,Gil,Cleber,Fábio Santos,Ralf,Elias,Petros,Jadson,Romero,Guerrero,Renato Augusto,Romarinho,Luciano,,,,,,,,,
7,V,CORINTHIANS,5,2,GOIÁS,21/08/2014,BRASILEIRO,Cássio,Fagner,Gil,Anderson Martins,Fábio Santos,Ralf,Elias,Renato Augusto,Jadson,Romero,Guerrero,Luciano,Lodeiro,Bruno Henrique,,,,,,,,,
8,E,CORINTHIANS,1,1,FLUMINENSE,31/08/2014,BRASILEIRO,Cássio,Ferrugem,Gil,Anderson Martins,Fábio Santos,Ralf,Elias,Lodeiro,Jadson,Romero,Romarinho,Renato Augusto,Luciano,Fagner,,,,,,,,,
9,V,CORINTHIANS,3,1,BRAGANTINO,03/09/2014,COPA DO BRASIL,Cássio,Fagner,Felipe,Anderson Martins,Fábio Santos,Ralf,Bruno Henrique,Renato Augusto,Luciano,Romero,Romarinho,Jadson,Petros,Danilo,,,,,,,,,
10,V,CORINTHIANS,1,0,ATLÉTICO (MG),11/09/2014,BRASILEIRO,Cássio,Fagner,Gil,Anderson Martins,Fábio Santos,Ralf,Elias,Renato Augusto,Petros,Luciano,Romero,Guerrero,Malcom,Bruno Henrique,,,,,,,,,
11,E,CORINTHIANS,1,1,CHAPECOENSE,18/09/2014,BRASILEIRO,Cássio,Ferrugem,Gil,Felipe,Fábio Santos,Ralf,Elias,Luciano,Jadson,Malcom,Guerrero,Romero,Lodeiro,Bruno Henrique,,,,,,,,,
12,V,CORINTHIANS,3,2,SÃO PAULO,21/09/2014,BRASILEIRO,Cássio,Fagner,Gil,Anderson Martins,Fábio Santos,Ralf,Bruno Henrique,Renato Augusto,Danilo,Malcom,Guerrero,Luciano,Uendel,Romero,,,,,,,,,
13,V,CORINTHIANS,2,0,ATLÉTICO (MG),01/10/2014,COPA DO BRASIL,Cássio,Fagner,Gil,Anderson Martins,Fábio Santos,Elias,Bruno Henrique,Renato Augusto,Petros,Malcom,Guerrero,Danilo,Luciano,Romero,,,,,,,,,
14,V,CORINTHIANS,3,0,SPORT,04/10/2014,BRASILEIRO,Cássio,Fagner,Gil,Anderson Martins,Fábio Santos,Elias,Bruno Henrique,Renato Augusto,Petros,Malcom,Guerrero,Luciano,Danilo,Romero,,,,,,,,,
